"name","type","id","date_established","detail_page_url","acreage"
"Florissant Fossil Beds","monument","florissantfossilbeds","1969-08-20T05:00:00.000Z","https://en.wikipedia.org/wiki/Florissant_Fossil_Beds_National_Monument",5998
"Wupatki","monument","wupatki","1924-12-09T06:00:00.000Z","https://en.wikipedia.org/wiki/Wupatki_National_Monument",35422
"Cedar Breaks","monument","cedarbreaks","1933-08-22T05:00:00.000Z","https://en.wikipedia.org/wiki/Cedar_Breaks_National_Monument",6155
"Petroglyph","monument","petroglyph","1990-06-27T05:00:00.000Z","https://en.wikipedia.org/wiki/Petroglyph_National_Monument",7532
"Organ Pipe Cactus","monument","organpipecactus","1937-04-13T05:00:00.000Z","https://en.wikipedia.org/wiki/Organ_Pipe_Cactus_National_Monument",330688
"Cape Krusenstern","monument","capekrusenstern","1978-12-01T06:00:00.000Z","https://en.wikipedia.org/wiki/Cape_Krusenstern_National_Monument",649082
"Bandelier","monument","bandelier","1916-02-11T06:00:00.000Z","https://en.wikipedia.org/wiki/Bandelier_National_Monument",54
"Lava Beds","monument","lavabeds","1925-11-21T06:00:00.000Z","https://en.wikipedia.org/wiki/Lava_Beds_National_Monument",46692
"John Day Fossil Beds","monument","johndayfossilbeds","1974-10-26T05:00:00.000Z","https://en.wikipedia.org/wiki/John_Day_Fossil_Beds_National_Monument",0
"Little River Canyon National Preserve","preserve","littlerivercanyon","1992-10-21T05:00:00.000Z","https://en.wikipedia.org/wiki/Little_River_Canyon_National_Preserve",15288
"Tallgrass Prairie National Preserve","preserve","tallgrassprairie","1996-11-12T06:00:00.000Z","https://en.wikipedia.org/wiki/Tallgrass_Prairie_National_Preserve",10894
"Yukon-Charley Rivers National Preserve","preserve","yukoncharleyrivers","1978-12-01T06:00:00.000Z","https://en.wikipedia.org/wiki/Yukon-Charley_Rivers_National_Preserve",2525512
"Noatak National Preserve","preserve","noatak","1978-12-01T06:00:00.000Z","https://en.wikipedia.org/wiki/Noatak_National_Preserve",6569904
"Big Thicket National Preserve","preserve","bigthicket","1974-10-11T05:00:00.000Z","https://en.wikipedia.org/wiki/Big_Thicket_National_Preserve",112501
"Bering Land Bridge National Preserve","preserve","beringlandbridge","1978-12-01T06:00:00.000Z","https://en.wikipedia.org/wiki/Bering_Land_Bridge_National_Preserve",2697391
"Lake Clark National Preserve","preserve","lakeclark","1980-12-02T06:00:00.000Z","https://en.wikipedia.org/wiki/Lake_Clark_National_Preserve",4030015
"Mojave National Preserve","preserve","mojave","1994-10-31T06:00:00.000Z","https://en.wikipedia.org/wiki/Mojave_National_Preserve",1542776
