"id","name","type","date_established","acreage","detail_page_url"
"el-morro","El Morro","monument","1906-12-08T06:00:00.000Z",221,"https://en.wikipedia.org/wiki/El_Morro_National_Monument"
"fossil-butte","Fossil Butte","monument","1972-10-23T05:00:00.000Z",8198,"https://en.wikipedia.org/wiki/Fossil_Butte_National_Monument"
"hagerman-fossil-beds","Hagerman Fossil Beds","monument","1988-11-18T06:00:00.000Z",4351,"https://en.wikipedia.org/wiki/Hagerman_Fossil_Beds_National_Monument"
"agate-fossil-beds","Agate Fossil Beds","monument","1997-06-14T05:00:00.000Z",11617,"https://en.wikipedia.org/wiki/Agate_Fossil_Beds_National_Monument"
"gold-butte","Gold Butte","monument","2016-12-28T06:00:00.000Z",0,"https://en.wikipedia.org/wiki/Gold_Butte_National_Monument"
"basin-and-range","Basin and Range","monument","2015-07-10T05:00:00.000Z",704000,"https://en.wikipedia.org/wiki/Basin_and_Range_National_Monument"
"fort-union","Fort Union","monument","1956-04-05T05:00:00.000Z",720.6,"https://en.wikipedia.org/wiki/Fort_Union_National_Monument"
"browns-canyon","Browns Canyon","monument","2015-02-19T06:00:00.000Z",21586,"https://en.wikipedia.org/wiki/Browns_Canyon_National_Monument"
"grand-canyon-parashant","Grand Canyon-Parashant","monument","2000-01-11T06:00:00.000Z",1048325,"https://en.wikipedia.org/wiki/Grand_Canyon-Parashant_National_Monument"
"freedom-riders","Freedom Riders","monument","2017-01-12T06:00:00.000Z",7.83,"https://en.wikipedia.org/wiki/Freedom_Riders_National_Monument"
"george-washington-carver","George Washington Carver","monument","1943-07-14T05:00:00.000Z",210,"https://en.wikipedia.org/wiki/George_Washington_Carver_National_Monument"
"hohokam-pima","Hohokam Pima","monument","1972-10-21T05:00:00.000Z",1690,"https://en.wikipedia.org/wiki/Hohokam_Pima_National_Monument"
"fort-sumter","Fort Sumter","monument","1948-04-28T05:00:00.000Z",0,"https://en.wikipedia.org/wiki/Fort_Sumter_National_Monument"
"ironwood-forest","Ironwood Forest","monument","2000-06-09T05:00:00.000Z",188619,"https://en.wikipedia.org/wiki/Ironwood_Forest_National_Monument"
"grand-portage","Grand Portage","monument","1960-01-27T06:00:00.000Z",710,"https://en.wikipedia.org/wiki/Grand_Portage_National_Monument"
"katahdin-woods-and-waters","Katahdin Woods and Waters","monument","2016-08-24T05:00:00.000Z",87563,"https://en.wikipedia.org/wiki/Katahdin_Woods_and_Waters_National_Monument"
"kasha-katuwe-tent-rocks","Kasha-Katuwe Tent Rocks","monument","2001-01-17T06:00:00.000Z",5402,"https://en.wikipedia.org/wiki/Kasha-Katuwe_Tent_Rocks_National_Monument"
"marianas-trench-marine","Marianas Trench Marine","monument","2009-01-06T06:00:00.000Z",0,"https://en.wikipedia.org/wiki/Marianas_Trench_Marine_National_Monument"
"tonto","Tonto","monument","1907-10-21T05:00:00.000Z",1120,"https://en.wikipedia.org/wiki/Tonto_National_Monument"
"montezuma-castle","Montezuma Castle","monument","1906-12-08T06:00:00.000Z",859.27,"https://en.wikipedia.org/wiki/Montezuma_Castle_National_Monument"
"northeast-canyons-and-seamounts-marine","Northeast Canyons and Seamounts Marine","monument","2016-09-15T05:00:00.000Z",4913,"https://en.wikipedia.org/wiki/Northeast_Canyons_and_Seamounts_Marine_National_Monument"
"fort-matanzas","Fort Matanzas","monument","1924-10-15T05:00:00.000Z",227.76,"https://en.wikipedia.org/wiki/Fort_Matanzas_National_Monument"
"organ-mountains-desert-peaks","Organ Mountains-Desert Peaks","monument","2014-05-21T05:00:00.000Z",496330,"https://en.wikipedia.org/wiki/Organ_Mountains-Desert_Peaks_National_Monument"
"pacific-remote-islands-marine","Pacific Remote Islands Marine","monument","2009-01-06T06:00:00.000Z",313818892,"https://en.wikipedia.org/wiki/Pacific_Remote_Islands_Marine_National_Monument"
"pipestone","Pipestone","monument","1937-08-25T05:00:00.000Z",281.78,"https://en.wikipedia.org/wiki/Pipestone_National_Monument"
"sunset-crater-volcano","Sunset Crater Volcano","monument","1930-05-30T05:00:00.000Z",3040,"https://en.wikipedia.org/wiki/Sunset_Crater"
